detectorType,descriptorType,imgIndex,detectorTime,descriptorTime,detectedROINum,matchedKpts,totalTime
FAST,BRISK,0,0.974033,3.56355,149,0,4.53758
FAST,BRISK,1,0.987178,3.01406,152,97,4.00124
FAST,BRISK,2,0.96569,2.87743,150,104,3.84312
FAST,BRISK,3,0.914605,1.99772,155,101,2.91233
FAST,BRISK,4,1.20115,1.93753,149,98,3.13869
FAST,BRISK,5,0.921294,1.96356,149,85,2.88485
FAST,BRISK,6,0.974948,2.05424,156,107,3.02919
FAST,BRISK,7,0.979528,1.93547,150,107,2.915
FAST,BRISK,8,0.851317,1.80194,138,100,2.65326
FAST,BRISK,9,0.918875,1.91819,143,100,2.83707
SHITOMASI,BRISK,0,41.1244,1.73326,125,0,42.8576
SHITOMASI,BRISK,1,19.3508,3.03962,118,95,22.3904
SHITOMASI,BRISK,2,18.2755,2.64444,123,88,20.92
SHITOMASI,BRISK,3,18.0397,2.54764,120,80,20.5874
SHITOMASI,BRISK,4,18.053,2.59591,120,90,20.6489
SHITOMASI,BRISK,5,16.9072,2.46654,113,82,19.3738
SHITOMASI,BRISK,6,17.4651,2.49819,114,79,19.9633
SHITOMASI,BRISK,7,17.0205,2.63205,123,85,19.6525
SHITOMASI,BRISK,8,17.0074,2.48561,111,86,19.493
SHITOMASI,BRISK,9,17.7791,2.48494,112,82,20.2641
HARRIS,BRISK,0,23.6683,0.556401,17,0,24.2247
HARRIS,BRISK,1,19.9491,1.39727,14,12,21.3464
HARRIS,BRISK,2,18.8494,1.45209,18,10,20.3015
HARRIS,BRISK,3,18.1554,1.47664,21,14,19.6321
HARRIS,BRISK,4,19.3424,1.50771,26,15,20.8501
HARRIS,BRISK,5,33.5281,1.741,43,16,35.2691
HARRIS,BRISK,6,16.5884,1.39881,18,16,17.9872
HARRIS,BRISK,7,20.2144,1.57229,31,15,21.7866
HARRIS,BRISK,8,18.9054,1.58519,26,23,20.4906
HARRIS,BRISK,9,24.1846,1.59985,34,21,25.7844
BRISK,BRISK,0,54.3041,4.36028,264,0,58.6644
BRISK,BRISK,1,52.9123,3.59094,282,171,56.5033
BRISK,BRISK,2,49.426,3.49151,282,176,52.9175
BRISK,BRISK,3,47.951,3.45568,277,157,51.4067
BRISK,BRISK,4,47.8957,3.70025,297,176,51.5959
BRISK,BRISK,5,48.8053,3.54907,279,174,52.3544
BRISK,BRISK,6,47.703,3.66566,289,188,51.3686
BRISK,BRISK,7,46.996,3.42191,272,173,50.4179
BRISK,BRISK,8,46.7992,3.34126,266,171,50.1404
BRISK,BRISK,9,47.591,3.26115,254,184,50.8522
ORB,BRISK,0,24.3953,2.30513,92,0,26.7004
ORB,BRISK,1,9.75138,1.53951,102,73,11.2909
ORB,BRISK,2,9.22352,1.45143,106,74,10.675
ORB,BRISK,3,7.67018,1.54741,113,79,9.21759
ORB,BRISK,4,7.74182,1.56209,109,85,9.30391
ORB,BRISK,5,7.91874,1.75335,125,79,9.67209
ORB,BRISK,6,8.12486,1.95939,130,92,10.0842
ORB,BRISK,7,7.6012,1.84684,129,90,9.44804
ORB,BRISK,8,7.88142,1.78288,127,88,9.66429
ORB,BRISK,9,7.84379,1.78502,128,91,9.62881
AKAZE,BRISK,0,127.273,2.13717,166,0,129.41
AKAZE,BRISK,1,127.029,2.1658,157,137,129.194
AKAZE,BRISK,2,120.565,3.1384,161,125,123.703
AKAZE,BRISK,3,116.16,3.03596,155,129,119.196
AKAZE,BRISK,4,112.087,2.98693,163,129,115.074
AKAZE,BRISK,5,117.181,3.05362,164,131,120.234
AKAZE,BRISK,6,118.071,3.16055,173,132,121.232
AKAZE,BRISK,7,115.621,3.26891,175,142,118.89
AKAZE,BRISK,8,116.326,3.13215,177,146,119.458
AKAZE,BRISK,9,125.025,3.20693,179,144,128.232
SIFT,BRISK,0,178.052,1.88079,138,0,179.932
SIFT,BRISK,1,169.959,1.72907,132,64,171.688
SIFT,BRISK,2,155.279,1.67705,124,66,156.956
SIFT,BRISK,3,143.217,1.76181,137,62,144.979
SIFT,BRISK,4,138.216,1.7528,134,66,139.969
SIFT,BRISK,5,131.756,1.85662,140,59,133.612
SIFT,BRISK,6,130.875,1.78095,137,64,132.656
SIFT,BRISK,7,133.09,1.89346,148,64,134.983
SIFT,BRISK,8,134.872,2.07244,159,67,136.945
SIFT,BRISK,9,139.722,1.83044,137,80,141.552
